iter	RMSE
0	0.9208373837
1	0.8461758303
2	0.7758883703
3	0.7146790979
4	0.6534195698
5	0.6051525087
6	0.5592461652
7	0.5214918882
8	0.4809466868
9	0.4423491983
10	0.4083511426
11	0.3824605136
12	0.3555345732
13	0.3263120627
14	0.3033385663
15	0.2803349498
16	0.2596351386
17	0.2424604196
18	0.2256073572
19	0.2101185226
20	0.1990733619
21	0.1862360929
22	0.1751200783
23	0.1655366787
24	0.1563306992
25	0.1502979692
26	0.143494545
27	0.1367473233
28	0.1307759485
29	0.1243731327
30	0.1189581003
31	0.1141122086
32	0.1092424437
33	0.1049878864
34	0.1015707162
35	0.09817657658
36	0.09422166861
37	0.09170257467
38	0.08946590483
39	0.08672408214
40	0.08451423897
41	0.08289283794
42	0.08144842238
43	0.07981206611
44	0.07816275232
45	0.07586029119
46	0.07453984069
47	0.07291428461
48	0.07116204211
49	0.07012371181
50	0.06881909209
51	0.0675930397
52	0.06642144288
53	0.06551816935
54	0.06443453755
55	0.06342385694
56	0.06247666469
57	0.06142795415
58	0.06099692883
59	0.06021048609
60	0.05903106132
61	0.05762120004
62	0.05726692277
63	0.05635537088
64	0.05531717854
65	0.05443044503
66	0.05358987184
67	0.0526857191
68	0.05154870861
69	0.05093646716
70	0.05019839829
71	0.04947472351
72	0.04892154019
73	0.04832910284
74	0.04780533436
75	0.04736759838
76	0.0468780242
77	0.04615922206
78	0.04550093334
79	0.04499092965
80	0.04419970343
81	0.04347935484
82	0.04301574777
83	0.04227221428
84	0.04162442585
85	0.04132439405
86	0.04067438834
87	0.03980003913
88	0.03930646989
89	0.03890616668
90	0.03837172449
91	0.03778061397
92	0.03754272894
93	0.03744176172
94	0.03689158057
95	0.03673341099
96	0.03638845395
97	0.03599179502
98	0.03540396643
99	0.03516595122
